title,organizer,field,region,city,event_type,start_date,end_date
Sun’iy intellekt va raqamli texnologiyalarni rivojlantirish istiqbollari.,Samarqand Zarmed universiteti,Axborot va kommunikatsiya texnologiyalari,Samarqand,"Samarqand shahri, Samarqand viloyati",Anjuman,2026-04-17,2026-04-18
"Muhandislik, fan va ta’lim sohasidagi xalqaro anjuman",Toshkent davlat transport universiteti,Axborot va kommunikatsiya texnologiyalari,Toshkent,"Mirobod tumani, Toshkent shahri",Anjuman,2026-03-26,2026-03-27
“Axborot texnologiyalaridan foydalanishni yangi bosqichga ko‘tarishning ilmiy asoslari va avtomatlashtirishning zamonaviy muammolari” V-Xalqaro ilmiy anjuman,Toshkent shahridagi Belarus- O‘zbekiston qo‘shma tarmoqlararo amaliy texnik kvalifikatsiyalar instituti,Axborot va kommunikatsiya texnologiyalari,Toshkent,"Qibray tumani, Toshkent viloyati",Anjuman,2026-11-20,2026-11-20
Sanoatni avtomatlashtirish uchun intellektual sistemalar,Islom Karimov nomidagi Toshkent davlat texnika universiteti,Axborot va kommunikatsiya texnologiyalari,Toshkent,"Olmazor tumani, Toshkent shahri",Anjuman,2026-10-22,2026-10-23
Ta’lim jarayonida IT yechimlari orqali dual ta’limni raqamlashtirish va ishlab chiqarish amaliyoti bilan uzviy bog‘lashning xalqaro tajribasi,Andijon davlat universiteti,Axborot va kommunikatsiya texnologiyalari,Andijon,"Andijon shahri, Andijon",Anjuman,2026-05-20,2026-05-30
Intellektual jamiyat sari: sun’iy intellekt va fanlararo integratsiyaning istiqbollari,Toshkent iqtisodiyot va texnologiyalar universiteti,Axborot va kommunikatsiya texnologiyalari,Namangan,"Namangan shahri, Namangan viloyati",Anjuman,2026-05-28,2026-05-29
Intellektual axborot tizimlari va raqamli transformatsiya jarayonlarining innovatsion yechimlari,Axborot texnologiyalari va menejment universiteti,Axborot va kommunikatsiya texnologiyalari,Qashqadaryo,"Qarshi tumani, Qashqadaryo viloyati",Anjuman,2026-03-27,2026-03-28
Kompyuter ilmlari va muhandislik texnologiyalari.,Mirzo Ulug‘bek nomidagi O‘zbekiston Milliy universitetining Jizzax filiali,Axborot va kommunikatsiya texnologiyalari,Jizzax,"Jizzax shahri, Jizzax viloyati",Anjuman,2026-09-25,2026-09-26
O‘zbekiston Respublikasida raqamli va innovatsion texnologiyalarni rivojlantirish: Sun’iy intellekt istiqbollari,Ipak yo‘li innovatsiyalar universiteti,Axborot va kommunikatsiya texnologiyalari,Toshkent,"Olmaliq shahri, Toshkent viloyati",Anjuman,2026-12-18,2026-12-18
Axborot texnologiyalar va sun’iy intellekt,Cyber University davlat universiteti,Axborot va kommunikatsiya texnologiyalari,Toshkent,"O‘rtachirchiq tumani, Toshkent viloyati",Anjuman,2026-06-19,2026-06-20
