old_name,new_name,diss_count,rule
«ЎЗЛИТИНЕФТГАЗ” АЖ,«O‘ZLITINEFTGAZ» АЖ,4,exact-fold
“O`ZLITINEFTGAZ” АЖ,«O‘ZLITINEFTGAZ» АЖ,2,exact-fold
"""ЎЗЛИТИНЕФТГАЗ"" АЖ",«O‘ZLITINEFTGAZ» АЖ,1,exact-fold
«ЎЗЛИТИНЕФТГАЗ» АЖ,«O‘ZLITINEFTGAZ» АЖ,1,exact-fold
“Ўзбекэнерго” АЖ “,«Ўзбекэнерго» АЖ,4,exact-fold
«Ўзбекэнерго» АЖ «,«Ўзбекэнерго» АЖ,2,exact-fold
“Ўзбекэнерго” АЖ,«Ўзбекэнерго» АЖ,1,exact-fold
Гидрогеология ва инженерлик геологияси институти ДК,«Гидрогеология ва инженерлик геологияси институти» ДК,1,exact-fold
Гидрогеология ва инженерлик геологияси институти ДМ,«Гидрогеология ва инженерлик геологияси институти» ДК,1,curated-group
“Гидрогеология ва инженерлик геологияси институти” ДМ,«Гидрогеология ва инженерлик геологияси институти» ДК,1,curated-group
“Минерал ресурслар институти” ДМ,«Минерал ресурслар институти» ДМ,7,exact-fold
Минерал ресурслар институти ДМ,«Минерал ресурслар институти» ДМ,6,exact-fold
«Минерал ресурслар институти» ДК,«Минерал ресурслар институти» ДМ,5,curated-group
Минерал ресурслар институти ДК,«Минерал ресурслар институти» ДМ,3,curated-group
“Оила ва хотин-қизлар”,«Оила ва хотин-қизлар»,4,exact-fold
Оила ва хотин-қизлар,«Оила ва хотин-қизлар»,1,exact-fold
“Физика-Қуёш”,«Физика-Қуёш»,1,exact-fold
Оʻзбекистон Миллий университети,Ўзбекистон Миллий университети,6,exact-fold
Оъзбекистон Миллий университети,Ўзбекистон Миллий университети,4,exact-fold
Ўзбекистан миллий университети,Ўзбекистон Миллий университети,2,typo
Ўзбекистон миллий унивеситети,Ўзбекистон Миллий университети,2,typo
О'збекистон Миллий университети,Ўзбекистон Миллий университети,1,exact-fold
Ўзбекистон Миллий университети ва Наманган муҳандислик-қурилиш институти,Ўзбекистон Миллий университети,1,exact-fold
Ўзбекистон Миллий университети ва Ўзбекистон Фанлар академияси Астрономия институти,Ўзбекистон Миллий университети,1,exact-fold
Ўзбекистон Миллий университети ва Қорақалпоқдавлат университети ҳамкорлигида,Ўзбекистон Миллий университети,1,exact-fold
Ўзбекистон Миллий университети ва Тошкент кимё-технология институти,Ўзбекистон Миллий университети,1,exact-fold
Ўзбекистон Миллий университети ва Тошкентдаги Турин политехника университети,Ўзбекистон Миллий университети,1,exact-fold
Ўзбекистон Миллий университети ва Витус Беринг номидаги Камчатка давлат университети,Ўзбекистон Миллий университети,1,exact-fold
"Ўзбекистон Миллий университети, Астрономия институти",Ўзбекистон Миллий университети,1,exact-fold
"Ўзбекистон Миллий университети, Чирчиқ давлат педагогика университети",Ўзбекистон Миллий университети,1,exact-fold
"Ўзбекистон Миллий университети, Ўзбекистон Республикаси Фанлар Академияси Ядро Физикаси институти",Ўзбекистон Миллий университети,1,exact-fold
"Ўзбекистон миллий университети, Ўзбекистон Республикаси Жамоат хавфсизлиги университети",Ўзбекистон Миллий университети,1,exact-fold
"Ўзбекистон миллий университети, Республика Маънавият ва маърифат маркази",Ўзбекистон Миллий университети,1,exact-fold
"Ўзбекистон Миллий университети, Россия фанлар академияси Кабардино-Балкар",Ўзбекистон Миллий университети,1,exact-fold
"Ўзбекистон миллий университети, Тошкент фармацевтика институти",Ўзбекистон Миллий университети,1,exact-fold
"Ўзбекистон Миллий университети, Тошкент кимё-технология институти",Ўзбекистон Миллий университети,1,exact-fold
"Ўзбекистон Миллий университети, Тошкент педиатрия тиббиёт институти",Ўзбекистон Миллий университети,1,exact-fold
Ўзбекистон Республикаси Миллий университети,Ўзбекистон Миллий университети,1,curated
Ўзбекистон Миллий унверситети,Ўзбекистон Миллий университети,1,typo
Ўзбекистонм миллий университети,Ўзбекистон Миллий университети,1,typo
Ўзбекицон Миллий университети,Ўзбекистон Миллий университети,1,typo
Узбекистон миллий университети,Ўзбекистон Миллий университети,1,typo
Ўзбекистон Миллий университети ҳузуридаги Биофизика ва биокимё институти,Ўзбекистон Миллий университети ҳузуридаги Биофизика,35,exact-fold
"Ўзбекистон Миллий университети ҳузуридаги Биофизика ва биокимё институти, Наманган давлат университети",Ўзбекистон Миллий университети ҳузуридаги Биофизика,1,exact-fold
Ўзбекистон Миллий университети ҳузуридаги Яримўтказгичлар физикаси ва микроэлектроника,Ўзбекистон Миллий университети ҳузуридаги Яримўтказгичлар физикаси ва микроелектроника,3,exact-fold
Ўзбекистон Республикаси Банк-молия академиясида,Ўзбекистон Республикаси Банк-молия академияси,1,exact-fold
Ўзбекистон Республикаси Банк–молия академияси,Ўзбекистон Республикаси Банк-молия академияси,1,exact-fold
. Ўзбекистон Республикаси Давлат солиқ қўмитаси ҳузуридаги Фискал институт,Ўзбекистон Республикаси Давлат солиқ қўмитаси ҳузуридаги Фискал институт,1,exact-fold
Оъзбекистон Республикаси Жамоат хавфсизлиги университети,Ўзбекистон Республикаси Жамоат хавфсизлиги университети,3,exact-fold
О'збекистон Республикаси Президенти ҳузуридаги Давлат бошқаруви академияси,Ўзбекистон Республикаси Президенти ҳузуридаги Давлат бошқаруви академияси,1,exact-fold
Ўзбекиcтoн Pеcпубликacи Пpезиденти ҳузуpидaги Дaвлaт бoшқapуви aкaдемияcи,Ўзбекистон Республикаси Президенти ҳузуридаги Давлат бошқаруви академияси,1,typo
Ўзбекистон Республикаси Президенти хузуридаги Давлат бошқаруви академияси,Ўзбекистон Республикаси Президенти ҳузуридаги Давлат бошқаруви академияси,1,typo
Ўзбекистон Республикаси Судьялар олий кенгаши ҳузуридаги Судьялар олий мактаби,Ўзбекистон Республикаси Судялар олий кенгаши ҳузуридаги Судялар олий мактаби,5,exact-fold
Оъзбекистон Республикаси Судялар олий кенгаши ҳузуридаги Судялар олий мактаби,Ўзбекистон Республикаси Судялар олий кенгаши ҳузуридаги Судялар олий мактаби,1,exact-fold
Ўзбекистон Республикаси Фанлар Aкадемияси Aбу Райҳон Беруний номидаги Шарқшунослик институти,Ўзбекистон Республикаси Фанлар Академияси Абу Райҳон Беруний номидаги Шарқшунослик институти,1,exact-fold
Ўзбекистон Республикаси Фанлар aкадемияси Абу Райҳон Беруний номидаги Шарқшунослик институти,Ўзбекистон Республикаси Фанлар Академияси Абу Райҳон Беруний номидаги Шарқшунослик институти,1,exact-fold
Ўзбекистон Республикаси Фанлар Академияси Ион-плазма ва лазер технологиялари институти,Ўзбекистон Республикаси Фанлар Академияси Ион-плазма,13,exact-fold
Ўзбекистон Республикаси Фанлар Академияси Ион-плазма ва лазер технологиялари институти ва Физика-техника институти,Ўзбекистон Республикаси Фанлар Академияси Ион-плазма,1,exact-fold
"Ўзбекистон Республикаси Фанлар академияси, Физика-техника институти",Ўзбекистон Республикаси Фанлар академияси,1,exact-fold
"Ўзбекистон Республикаси Фанлар академияси, Хоразм Маъмун академияси",Ўзбекистон Республикаси Фанлар академияси,1,exact-fold
"Ўзбекистон Республикаси Фанлар академияси Ўзбек тили, адабиёти ва фольклори институти",Ўзбекистон Республикаси Фанлар академияси Ўзбек тили,24,exact-fold
"Ўзбекистон Республикаси Фанлар академияси Ўзбек тили, адабиёти ва фолклори институти",Ўзбекистон Республикаси Фанлар академияси Ўзбек тили,22,exact-fold
Ўзбекистон Республикаси Фанлар академияси М.Т.Ўрозбоев номидаги Механика ва иншоотлар сейсмик мустаҳкамлиги институти,Ўзбекистон Республикаси Фанлар академияси М.Т.Ўрозбоев номидаги Механика,8,exact-fold
Ўзбекистон Республикаси Фанлар академияси Механика ва иншоотлар сейсмик мустаҳкамлиги институти,Ўзбекистон Республикаси Фанлар академияси М.Т.Ўрозбоев номидаги Механика,7,curated-group
Ўзбекистон Республикаси Фанлар академияси М.Т. Ўрозбоев номидаги Механика ва иншоотлар сейсмик мустаҳкамлиги институти,Ўзбекистон Республикаси Фанлар академияси М.Т.Ўрозбоев номидаги Механика,4,exact-fold
М.Т.Ўрозбоев номидаги Механика ва иншоотлар сейсмик мустаҳкамлиги институти,Ўзбекистон Республикаси Фанлар академияси М.Т.Ўрозбоев номидаги Механика,2,curated-group
Ўзбекистон Республикаси Фанлар академияси М.Т. Ўрозбоев номидаги Механика ва иншоотлар сейсмик мустаҳкамлиги институти ва Наманган муҳандислик-қурилиш институти,Ўзбекистон Республикаси Фанлар академияси М.Т.Ўрозбоев номидаги Механика,1,exact-fold
«Ўзбекистон Республикаси Фанлар академияси М.Т.Ўрозбоев номидаги Механика ва иншоотлар сейсмик мустаҳкамлиги институти»,Ўзбекистон Республикаси Фанлар академияси М.Т.Ўрозбоев номидаги Механика,1,exact-fold
М.Т. Ўрозбоев номидаги Механика ва иншоотлар сейсмик мустаҳкамлиги институти,Ўзбекистон Республикаси Фанлар академияси М.Т.Ўрозбоев номидаги Механика,1,curated-group
Ўзбекистон Республикаси Фанлар Академияси Механика ва иншоотлар сейсмик мустаҳкамлиги институтида,Ўзбекистон Республикаси Фанлар академияси М.Т.Ўрозбоев номидаги Механика,1,curated-group
Ўзбекистон Республикаси Фанлар Академияси Механика ва иншоотларнинг сейсмик мустаҳкамлиги институти ва Тошкент архитектура қурилиш университети,Ўзбекистон Республикаси Фанлар академияси М.Т.Ўрозбоев номидаги Механика,1,curated-group
"Ўзбекистон Республикаси Фанлар академияси Навоий бўлими, Навоий давлат кончилик ва технологиялар университети",Ўзбекистон Республикаси Фанлар академияси Навоий бўлими,2,exact-fold
Ўзбекистон Республикаси Фанлар академияси Полимерлар кимёси ва физикаси институти,Ўзбекистон Республикаси Фанлар академияси Полимерлар кимёси,13,exact-fold
Ўзбекистон Республикаси Фанлар академияси Полимерлар кимёси ва физикаси институти ҳамда Андижон давлат университети,Ўзбекистон Республикаси Фанлар академияси Полимерлар кимёси,1,exact-fold
Ўзбекистон Республикаси Фанлар Aкадемияси Тарих институти,Ўзбекистон Республикаси Фанлар академияси Тарих институти,1,exact-fold
Ўзбекистон Республикаси Фанлар Академияси “Энергетика муаммолари институти”,Ўзбекистон Республикаси Фанлар академияси Энергетика муаммолари институти,1,exact-fold
Ядро физикаси институти,Ўзбекистон Республикаси Фанлар академияси Ядро физикаси институти,14,curated-group
"Ўзбекистон Республикаси Фанлар Академияси Ядро физикаси институти, “Радиопрепарат” Давлат Корхонаси",Ўзбекистон Республикаси Фанлар академияси Ядро физикаси институти,3,exact-fold
Ядро физикаси институти ва Астрономия институти,Ўзбекистон Республикаси Фанлар академияси Ядро физикаси институти,3,curated-group
Ўзбекистон Республикаси Фанлар акдемияси Ядро физикаси институти,Ўзбекистон Республикаси Фанлар академияси Ядро физикаси институти,2,curated-group
Ўзбекистон Республикаси Фанлар Академияси Ядро физикаси институти ва Шароф Рашидов номидаги Самарқанд давлат университети,Ўзбекистон Республикаси Фанлар академияси Ядро физикаси институти,1,exact-fold
"Ядро физикаси институти, Андижон давлат университети",Ўзбекистон Республикаси Фанлар академияси Ядро физикаси институти,1,curated-group
"Ядро физикаси институти, Бирлашган ядро тадқиқотлари институти (Дубна, Россия)",Ўзбекистон Республикаси Фанлар академияси Ядро физикаси институти,1,curated-group
Ўзбекистон Республикаси Фанлар акдемияси Ядро физикаси институти ва Навоий давлат кончилик институти,Ўзбекистон Республикаси Фанлар академияси Ядро физикаси институти,1,curated-group
Ўзбекистон Распубликаси Фанлар Академияси Ядро Физикаси институти,Ўзбекистон Республикаси Фанлар академияси Ядро физикаси институти,1,typo
Ўзбекистон Республикаси Фанлар академияси Қорақалпоғистон бўлими Қарақалпақ гуманитар фанлар,Ўзбекистон Республикаси Фанлар академияси Қорақалпоғистон бўлими Қорақалпоқ гуманитар фанлар,1,typo
Ўзбекистон Республикаси Қуролли кучлари ҳарбий-тиббиёт академияси,Ўзбекистон Республикаси Қуролли Кучлари Ҳарбий тиббиёт академияси,1,exact-fold
Ўзбекистон давлат жаҳон тиллар университети,Ўзбекистон давлат жаҳон тиллари университети,20,curated-group
Оʻзбекистон давлат жаҳон тиллари университети,Ўзбекистон давлат жаҳон тиллари университети,2,exact-fold
Ўзбекистон давлат жахон тиллари университети,Ўзбекистон давлат жаҳон тиллари университети,2,typo
Ўзбекистон давлат жаҳон тиллари унIVерситети,Ўзбекистон давлат жаҳон тиллари университети,1,exact-fold
Ўзбекистон давлат жаҳон университети,Ўзбекистон давлат жаҳон тиллари университети,1,curated
Ўзбекистон кимё фармацевтика,Ўзбекистон кимё-фармацевтика,1,exact-fold
Ўзбeкистон кимё-фармацeвтика,Ўзбекистон кимё-фармацевтика,1,exact-fold
Оʻзбекистон миллий педагогика университети,Ўзбекистон миллий педагогика университети,3,exact-fold
"Ўзбекистон миллий педагогика университети, DSc.01/2025.27.12.Р.03.02",Ўзбекистон миллий педагогика университети,1,exact-fold
Ўзбекистон миллий давлат педагогика университети,Ўзбекистон миллий педагогика университети,1,curated
